"","x"
"1","Sample_Box"
"2","Sample_Box"
"3","Sample_Box"
"4","Sample_Box"
"5","Sample_Box"
"6","Sample_Box"
"7","Trash"
"8","Sample_Box"
"9","Sample_Box"
"10","Trash"
"11","Sample_Box"
"12","Sample_Box"
"13","Sample_Box"
"14","Sample_Box"
"15","Sample_Box"
"16","Sample_Box"
"17","Sample_Box"
"18","Sample_Box"
"19","Sample_Box"
"20","Trash"
"21","Sample_Box"
"22","Sample_Box"
"23","Sample_Box"
"24","Sample_Box"
"25","Sample_Box"
"26","Sample_Box"
"27","Sample_Box"
"28","Sample_Box"
"29","Sample_Box"
"30","Sample_Box"
"31","Sample_Box"
"32","Sample_Box"
"33","Sample_Box"
"34","Sample_Box"
"35","Sample_Box"
"36","Sample_Box"
"37","Sample_Box"
"38","Sample_Box"
"39","Sample_Box"
"40","Sample_Box"
"41","Sample_Box"
"42","Sample_Box"
"43","Sample_Box"
"44","Sample_Box"
"45","Sample_Box"
"46","Sample_Box"
"47","Sample_Box"
"48","Sample_Box"
"49","Trash"
"50","Sample_Box"
"51","Sample_Box"
"52","Sample_Box"
"53","Sample_Box"
"54","Sample_Box"
"55","Sample_Box"
"56","Sample_Box"
"57","Sample_Box"
"58","Sample_Box"
"59","Sample_Box"
"60","Sample_Box"
"61","Sample_Box_IMM"
"62","Trash"
"63","Sample_Box"
"64","Sample_Box"
"65","Sample_Box"
"66","Sample_Box"
"67","Sample_Box"
"68","Sample_Box"
"69","Sample_Box"
"70","Sample_Box"
"71","Sample_Box"
"72","Sample_Box"
"73","Sample_Box"
"74","Sample_Box"
"75","Sample_Box"
"76","Sample_Box"
"77","Sample_Box"
"78","Sample_Box"
"79","Sample_Box"
"80","Sample_Box"
"81","Trash"
"82","Sample_Box"
"83","Sample_Box"
"84","Sample_Box"
"85","Sample_Box"
"86","Sample_Box"
"87","Sample_Box"
"88","Sample_Box"
"89","Sample_Box"
"90","Trash"
"91","Sample_Box"
"92","Sample_Box"
"93","Sample_Box"
"94","Sample_Box"
"95","Sample_Box"
"96","Sample_Box"
"97","Sample_Box"
"98","Sample_Box"
"99","Sample_Box"
"100","Sample_Box"
"101","Trash"
"102","Sample_Box"
"103","Sample_Box"
"104","Sample_Box"
"105","Sample_Box"
"106","Trash"
"107","Sample_Box"
"108","Trash"
"109","Sample_Box"
"110","Sample_Box"
"111","Sample_Box"
"112","Sample_Box"
"113","Trash"
"114","Sample_Box"
"115","Sample_Box"
"116","Sample_Box"
"117","Sample_Box"
"118","Sample_Box"
"119","Sample_Box"
"120","Sample_Box"
"121","Sample_Box"
"122","Sample_Box"
"123","Sample_Box"
"124","Sample_Box"
"125","Sample_Box"
"126","Sample_Box"
"127","Sample_Box"
"128","Sample_Box"
"129","Sample_Box"
"130","Sample_Box"
"131","Sample_Box"
"132","Sample_Box"
"133","Sample_Box"
"134","Sample_Box"
"135","Sample_Box"
"136","Sample_Box"
"137","Sample_Box"
"138","Sample_Box"
"139","Sample_Box"
"140","Sample_Box"
"141","Sample_Box"
"142","Sample_Box"
"143","Sample_Box"
"144","Sample_Box"
"145","Sample_Box"
"146","Sample_Box"
"147","Sample_Box"
"148","Sample_Box"
"149","Sample_Box"
"150","Sample_Box"
"151","Sample_Box"
"152","Sample_Box"
"153","Trash"
"154","Sample_Box"
"155","Sample_Box"
"156","Sample_Box"
"157","Sample_Box"
"158","Sample_Box"
"159","Sample_Box_IMM"
"160","Trash"
"161","Sample_Box"
"162","Sample_Box"
"163","Sample_Box"
"164","Trash"
"165","Sample_Box"
"166","Sample_Box"
"167","Sample_Box"
"168","Sample_Box"
"169","Sample_Box"
"170","Trash"
"171","Sample_Box_IMM"
"172","Sample_Box_IMM"
"173","Sample_Box"
"174","Sample_Box_IMM"
"175","Sample_Box_IMM"
"176","Sample_Box"
"177","Sample_Box_IMM"
"178","Sample_Box_IMM"
"179","Sample_Box"
"180","Sample_Box"
"181","Sample_Box"
"182","Pool-Box"
"183","Sample_Box"
"184","Sample_Box_IMM"
"185","Sample_Box_IMM"
"186","Sample_Box"
"187","Sample_Box"
"188","Sample_Box"
"189","IMM_check"
"190","Trash"
"191","Sample_Box"
"192","Sample_Box_IMM"
"193","Sample_Box"
"194","Sample_Box_IMM"
"195","Sample_Box_IMM"
"196","Sample_Box_IMM"
"197","Sample_Box_IMM"
"198","Sample_Box_IMM"
"199","Sample_Box_IMM"
"200","Sample_Box_IMM"
"201","Sample_Box"
"202","Sample_Box"
"203","Sample_Box"
"204","Sample_Box"
"205","Sample_Box"
"206","Sample_Box"
"207","Sample_Box_IMM"
"208","Sample_Box_IMM"
"209","Sample_Box_IMM"
"210","Sample_Box_IMM"
"211","Sample_Box_IMM"
"212","Sample_Box_IMM"
"213","Sample_Box_IMM"
"214","IMM_check"
"215","Sample_Box"
"216","Pool-Box"
"217","Sample_Box_IMM"
"218","Sample_Box_IMM"
"219","Sample_Box_IMM"
"220","Sample_Box_IMM"
"221","Sample_Box_IMM"
"222","Sample_Box_IMM"
"223","Sample_Box_IMM"
"224","Sample_Box_IMM"
"225","IMM_check"
"226","Sample_Box_IMM"
"227","Trash"
"228","Sample_Box_IMM"
"229","Sample_Box_IMM"
"230","Sample_Box_IMM"
"231","Sample_Box"
"232","Sample_Box_IMM"
"233","Sample_Box"
"234","Sample_Box"
"235","Sample_Box_IMM"
"236","Sample_Box"
"237","IMM_check"
"238","Trash"
"239","Sample_Box"
"240","Sample_Box_IMM"
"241","Sample_Box_IMM"
"242","Sample_Box_IMM"
"243","Sample_Box"
"244","Sample_Box_IMM"
"245","Sample_Box_IMM"
"246","Sample_Box_IMM"
"247","Sample_Box_IMM"
"248","Sample_Box_IMM"
"249","Sample_Box_IMM"
"250","Sample_Box_IMM"
"251","Sample_Box_IMM"
"252","Sample_Box_IMM"
"253","Sample_Box"
"254","Sample_Box"
"255","Sample_Box"
"256","Pool-Box"
"257","Sample_Box"
"258","Sample_Box"
"259","Trash"
"260","IMM_check"
"261","IMM_check"
"262","IMM_check"
"263","Sample_Box"
"264","IMM_check"
"265","IMM_check"
"266","Sample_Box"
"267","IMM_check"
"268","IMM_check"
"269","Sample_Box"
"270","IMM_check"
"271","IMM_check"
"272","Trash"
"273","Sample_Box"
"274","Sample_Box"
"275","Sample_Box"
"276","Sample_Box"
"277","Sample_Box"
"278","IMM_check"
"279","Sample_Box"
"280","IMM_check"
"281","IMM_check"
"282","IMM_check"
"283","Sample_Box"
"284","Trash"
"285","Sample_Box_IMM"
"286","Sample_Box_IMM"
"287","Sample_Box_IMM"
"288","IMM_check"
"289","IMM_check"
"290","Sample_Box"
"291","IMM_check"
"292","IMM_check"
"293","IMM_check"
"294","IMM_check"
"295","IMM_check"
"296","Sample_Box"
"297","IMM_check"
"298","IMM_check"
"299","Sample_Box"
"300","Sample_Box"
"301","Sample_Box"
"302","Sample_Box"
"303","IMM_check"
"304","Trash"
"305","IMM_check"
"306","Sample_Box"
"307","Sample_Box"
"308","IMM_check"
"309","IMM_check"
"310","Trash"
"311","IMM_check"
"312","IMM_check"
"313","Sample_Box"
"314","IMM_check"
"315","IMM_check"
"316","Sample_Box"
"317","Sample_Box"
"318","Trash"
"319","Sample_Box"
"320","Sample_Box"
"321","Sample_Box"
"322","IMM_check"
"323","Trash"
"324","Sample_Box"
"325","IMM_check"
"326","Trash"
"327","Sample_Box"
"328","IMM_check"
"329","IMM_check"
"330","Trash"
"331","IMM_check"
"332","IMM_check"
"333","IMM_check"
"334","Sample_Box"
"335","Sample_Box"
"336","IMM_check"
"337","IMM_check"
"338","IMM_check"
"339","IMM_check"
"340","Sample_Box"
"341","Sample_Box"
"342","Sample_Box"
"343","Sample_Box"
"344","IMM_check"
"345","IMM_check"
"346","IMM_check"
"347","Sample_Box"
"348","Sample_Box"
"349","Sample_Box"
"350","Sample_Box"
"351","IMM_check"
"352","Trash"
"353","Trash"
"354","Sample_Box"
"355","IMM_check"
"356","Sample_Box_IMM"
"357","Sample_Box_IMM"
"358","Sample_Box_IMM"
"359","IMM_check"
"360","IMM_check"
"361","Sample_Box"
"362","Sample_Box"
"363","IMM_check"
"364","Sample_Box"
"365","Sample_Box"
"366","Sample_Box"
"367","Trash"
"368","Sample_Box"
"369","IMM_check"
"370","Sample_Box"
"371","Sample_Box"
"372","IMM_check"
"373","IMM_check"
"374","IMM_check"
"375","IMM_check"
"376","Sample_Box"
"377","Trash"
"378","IMM_check"
"379","Sample_Box"
"380","IMM_check"
"381","IMM_check"
"382","IMM_check"
"383","Sample_Box"
"384","IMM_check"
"385","IMM_check"
"386","Trash"
"387","IMM_check"
"388","Sample_Box"
"389","IMM_check"
"390","IMM_check"
"391","IMM_check"
"392","Sample_Box"
"393","IMM_check"
"394","IMM_check"
"395","Sample_Box"
"396","Sample_Box_IMM"
"397","Sample_Box_IMM"
"398","IMM_check"
"399","Sample_Box"
"400","Sample_Box"
"401","IMM_check"
"402","IMM_check"
"403","IMM_check"
"404","Sample_Box"
"405","Trash"
"406","Sample_Box"
"407","Trash"
"408","Sample_Box"
"409","Trash"
"410","IMM_check"
"411","Sample_Box"
"412","IMM_check"
"413","Trash"
"414","Trash"
"415","Sample_Box"
"416","IMM_check"
"417","IMM_check"
"418","Sample_Box"
"419","IMM_check"
"420","IMM_check"
"421","IMM_check"
"422","IMM_check"
"423","IMM_check"
"424","Trash"
"425","Sample_Box"
"426","IMM_check"
"427","IMM_check"
"428","Sample_Box"
"429","Sample_Box"
"430","Sample_Box"
"431","IMM_check"
"432","IMM_check"
"433","Trash"
"434","Sample_Box"
"435","Sample_Box"
"436","Sample_Box"
"437","Sample_Box"
"438","IMM_check"
"439","Trash"
"440","IMM_check"
"441","Sample_Box"
"442","Sample_Box"
"443","IMM_check"
"444","Sample_Box"
"445","Sample_Box"
"446","Sample_Box"
"447","IMM_check"
"448","IMM_check"
"449","Sample_Box"
"450","IMM_check"
"451","IMM_check"
"452","Sample_Box"
"453","Sample_Box"
"454","Sample_Box"
"455","IMM_check"
"456","IMM_check"
"457","IMM_check"
"458","Trash"
"459","IMM_check"
"460","IMM_check"
"461","IMM_check"
"462","Sample_Box"
"463","Sample_Box_IMM"
"464","Sample_Box_IMM"
"465","Sample_Box_IMM"
"466","Sample_Box"
"467","IMM_check"
"468","IMM_check"
"469","IMM_check"
"470","IMM_check"
"471","IMM_check"
"472","Sample_Box"
"473","Sample_Box_IMM"
"474","Sample_Box_IMM"
"475","IMM_check"
"476","IMM_check"
"477","IMM_check"
"478","Trash"
"479","IMM_check"
"480","Sample_Box"
"481","IMM_check"
"482","IMM_check"
"483","Sample_Box"
"484","IMM_check"
"485","IMM_check"
"486","Sample_Box"
